tf,setup,setup_name,direction,entry_time,exit_time,entry_price,exit_price,sl,tp,exit_reason,pnl_r,pnl_usd,equity,session
5M,3,Liq-Sweep,SHORT,2024-05-28 14:00:00+00:00,2024-05-28 14:35:00+00:00,2349.19,2354.57,2354.57,2338.43,SL,-1.0,-25.0,4975.0,NY
5M,2,Zone-Pyramid,LONG,2024-05-28 17:25:00+00:00,2024-05-28 17:35:00+00:00,2355.77,2358.275,2354.1,2359.11,partial-TP,1.5,111.94,5086.94,NY
5M,5,Fib-Reject,SHORT,2024-05-29 13:40:00+00:00,2024-05-29 13:55:00+00:00,2340.75,2344.5038000000004,2344.5038000000004,2333.242399999999,SL,-1.0,-25.43,5061.5,NY
5M,2,Zone-Pyramid,SHORT,2024-05-29 17:00:00+00:00,2024-05-29 17:50:00+00:00,2341.25,2343.42,2343.42,2336.91,SL,-1.0,-75.92,4985.58,NY
5M,2,Zone-Pyramid,LONG,2024-05-30 15:30:00+00:00,2024-05-30 15:35:00+00:00,2344.06,2343.0,2343.0,2346.18,SL,-1.0,-74.78,4910.8,NY
5M,5,Fib-Reject,LONG,2024-05-30 16:15:00+00:00,2024-05-30 22:10:00+00:00,2343.17,2343.0,2336.2459999999996,2357.018000000001,time-stop,-0.025,-0.6,4910.19,NY
5M,2,Zone-Pyramid,LONG,2024-06-03 15:35:00+00:00,2024-06-03 20:35:00+00:00,2343.59,2349.65,2337.14,2356.4900000000007,time-stop,0.94,69.2,4979.39,NY
5M,5,Fib-Reject,SHORT,2024-06-04 13:40:00+00:00,2024-06-04 14:00:00+00:00,2328.37,2328.37,2332.4594,2320.1911999999993,SL,-0.0,-0.0,4979.39,NY
5M,5,Fib-Reject,SHORT,2024-06-04 15:45:00+00:00,2024-06-04 20:45:00+00:00,2326.09,2326.55,2333.2525,2311.7650000000003,time-stop,-0.064,-1.6,4977.79,NY
5M,5,Fib-Reject,SHORT,2024-06-07 14:45:00+00:00,2024-06-07 18:35:00+00:00,2314.56,2301.7784999999994,2323.081,2297.5179999999996,partial-TP,1.5,37.33,5015.13,NY
5M,5,Fib-Reject,SHORT,2024-06-10 15:25:00+00:00,2024-06-10 15:40:00+00:00,2304.26,2306.1864,2306.1864,2300.4072000000006,SL,-1.0,-25.08,4990.05,NY
5M,3,Liq-Sweep,SHORT,2024-06-10 16:05:00+00:00,2024-06-10 16:15:00+00:00,2308.21,2309.7400000000002,2309.7400000000002,2305.1499999999996,SL,-1.0,-24.95,4965.1,NY
5M,2,Zone-Pyramid,LONG,2024-06-11 13:40:00+00:00,2024-06-11 13:45:00+00:00,2314.57,2312.35,2312.35,2319.0100000000007,SL,-1.0,-74.48,4890.63,NY
5M,5,Fib-Reject,LONG,2024-06-11 13:50:00+00:00,2024-06-11 16:20:00+00:00,2313.93,2308.2054999999996,2308.2054999999996,2325.3790000000004,SL,-1.0,-24.45,4866.17,NY
