label,trades,wins,win_rate,profit_factor,avg_win_r,avg_loss_r,net_pnl_usd,max_dd_pct,final_equity,tf,setup_id
5M #1 50min-Wait,7,2.0,28.6,0.91,1.5,-0.65,-6.88,7.5,4630.61,5M,1
5M #2 Zone-Pyramid,18,5.0,27.8,0.56,1.38,-0.95,-384.65,11.5,4501.43,5M,2
5M #3 Liq-Sweep,19,6.0,31.6,1.09,1.5,-0.62,16.4,10.5,4536.72,5M,3
5M #4 Fake-Break,0,,,,,,,,,5M,4
5M #5 Fib-Reject,56,19.0,33.9,0.8,1.29,-0.82,-145.94,11.5,4478.92,5M,5
15M #1 50min-Wait,4,1.0,25.0,0.73,1.5,-0.67,-12.55,7.3,4670.58,15M,1
15M #2 Zone-Pyramid,11,2.0,18.2,0.43,1.5,-0.78,-286.73,12.1,4463.88,15M,2
15M #3 Liq-Sweep,7,0.0,0.0,0.0,0.0,-0.86,-146.38,9.9,4531.86,15M,3
15M #4 Fake-Break,0,,,,,,,,,15M,4
15M #5 Fib-Reject,23,5.0,21.7,0.65,1.35,-0.59,-90.46,9.9,4554.63,15M,5
30M #1 50min-Wait,2,0.0,0.0,0.0,0.0,-1.0,-48.1,4.5,4773.89,30M,1
30M #2 Zone-Pyramid,6,1.0,16.7,0.37,1.5,-0.8,-186.24,4.5,4796.8,30M,2
30M #3 Liq-Sweep,1,0.0,0.0,inf,0.0,0.0,0.0,3.0,4852.01,30M,3
30M #4 Fake-Break,0,,,,,,,,,30M,4
30M #5 Fib-Reject,17,6.0,35.3,1.04,1.45,-0.75,7.16,4.9,4772.82,30M,5
