entry_time,direction,entry,sl,dist,touches,htf_dist,fresh,outcome,t1_hit,pnl_usd
2024-05-28 17:25:00+00:00,LONG,2355.77,2354.1,1.67,2,0.67,True,T2,True,131.25
2024-05-28 17:30:00+00:00,LONG,2356.17,2354.1,2.07,2,0.65,False,BE,True,56.25
2024-05-30 15:30:00+00:00,LONG,2344.06,2343.0,1.06,2,1.21,True,SL,False,-75.0
2024-05-30 15:50:00+00:00,LONG,2343.84,2343.0,0.84,2,1.03,False,SL,False,-75.0
2024-05-30 16:15:00+00:00,LONG,2343.17,2343.0,0.17,3,4.16,False,SL,True,-18.75
2024-05-30 16:30:00+00:00,LONG,2345.66,2343.0,2.66,3,3.69,False,SL,False,-75.0
2024-06-04 13:30:00+00:00,SHORT,2332.53,2335.78,3.25,2,6.96,True,T2,True,131.25
2024-06-11 13:40:00+00:00,LONG,2314.57,2312.35,2.22,2,2.48,True,SL,False,-75.0
2024-06-11 13:50:00+00:00,LONG,2313.93,2312.35,1.58,2,2.29,False,BE,True,56.25
2024-06-11 14:35:00+00:00,LONG,2315.21,2312.35,2.86,2,1.87,False,SL,False,-75.0
2024-06-11 14:45:00+00:00,LONG,2316.87,2312.35,4.52,2,1.73,False,SL,False,-75.0
2024-07-04 14:55:00+00:00,LONG,2358.89,2358.41,0.48,2,0.15,True,SL,False,-75.0
2024-07-04 15:35:00+00:00,SHORT,2358.63,2360.25,1.62,2,0.71,True,T2,True,131.25
2024-07-04 15:40:00+00:00,SHORT,2358.46,2360.25,1.79,2,0.69,False,T2,True,131.25
2024-07-16 16:50:00+00:00,LONG,2459.89,2459.66,0.23,3,4.81,True,SL,False,-75.0
2024-07-16 17:00:00+00:00,LONG,2461.25,2459.66,1.59,3,9.64,False,SL,False,-75.0
2024-07-16 17:20:00+00:00,LONG,2462.12,2459.66,2.46,3,8.22,False,T2,True,131.25
2024-07-16 17:25:00+00:00,LONG,2462.71,2459.66,3.05,3,7.89,False,T2,True,131.25
2024-07-23 16:55:00+00:00,LONG,2405.41,2402.51,2.9,2,0.74,True,SL,False,-75.0
2024-07-30 16:05:00+00:00,LONG,2388.2,2386.01,2.19,2,10.26,True,T2,True,131.25
2024-07-30 16:15:00+00:00,LONG,2388.07,2386.01,2.06,3,9.47,False,T2,True,131.25
2024-08-02 13:15:00+00:00,LONG,2463.07,2458.42,4.65,4,2.52,True,BE,True,56.25
2024-08-05 14:15:00+00:00,SHORT,2387.72,2391.51,3.79,2,0.33,True,SL,False,-75.0
2024-08-05 17:05:00+00:00,LONG,2403.75,2395.46,8.29,2,4.82,True,BE,True,56.25
2024-08-13 16:40:00+00:00,LONG,2467.96,2459.14,8.82,4,0.07,True,SL,False,-75.0
2024-08-14 17:20:00+00:00,SHORT,2441.13,2444.76,3.63,2,7.41,True,SL,False,-75.0
2024-08-16 14:10:00+00:00,LONG,2491.86,2487.5,4.36,2,4.09,True,SL,False,-75.0
2024-08-16 14:50:00+00:00,LONG,2487.53,2487.5,0.03,3,2.97,False,SL,True,-18.75
2024-08-16 15:05:00+00:00,LONG,2489.22,2487.5,1.72,3,6.09,False,SL,False,-75.0
2024-08-16 15:40:00+00:00,LONG,2489.62,2487.5,2.12,4,4.61,False,T2,True,131.25
2024-08-16 15:55:00+00:00,LONG,2490.92,2487.5,3.42,4,4.08,False,T2,True,131.25
2024-08-19 17:40:00+00:00,LONG,2503.24,2502.04,1.2,3,0.69,True,BE,True,56.25
2024-08-22 13:00:00+00:00,SHORT,2499.09,2502.32,3.23,2,13.88,True,T2,True,131.25
2024-08-23 13:00:00+00:00,SHORT,2499.37,2500.84,1.47,2,1.5,True,SL,False,-75.0
2024-08-23 13:05:00+00:00,SHORT,2499.55,2500.84,1.29,2,1.44,False,SL,False,-75.0
2024-08-23 13:30:00+00:00,SHORT,2498.21,2500.84,2.63,2,1.18,False,SL,False,-75.0
2024-08-23 13:35:00+00:00,SHORT,2497.03,2500.84,3.81,2,1.13,False,SL,False,-75.0
2024-08-23 16:45:00+00:00,LONG,2506.59,2505.84,0.75,2,2.81,True,T2,True,131.25
2024-09-04 16:05:00+00:00,LONG,2495.07,2491.73,3.34,2,4.74,True,SL,False,-75.0
2024-09-04 17:40:00+00:00,LONG,2494.68,2491.73,2.95,3,0.53,False,SL,False,-75.0
2024-09-09 15:05:00+00:00,LONG,2496.67,2496.27,0.4,2,1.2,True,SL,False,-75.0
2024-09-09 15:30:00+00:00,LONG,2497.43,2496.27,1.16,3,0.98,False,SL,False,-75.0
2024-09-16 14:00:00+00:00,SHORT,2584.21,2587.74,3.53,2,4.76,True,T2,True,131.25
