entry_time,exit_time,direction,entry,sl,exit,pnl_usd,outcome,t1_hit,layer
2025-12-01 16:30:00+00:00,2025-12-02 01:05:00+00:00,SHORT,4231.12,4244.89,4203.58,131.25,T2,True,Normal
2025-12-05 17:50:00+00:00,2025-12-05 18:20:00+00:00,LONG,4216.56,4214.03,4214.03,-75.0,SL,False,Normal
2025-12-08 14:25:00+00:00,2025-12-08 14:35:00+00:00,SHORT,4208.59,4211.38,4203.01,131.25,T2,True,Normal
2025-12-09 14:00:00+00:00,2025-12-09 14:30:00+00:00,SHORT,4197.61,4203.91,4203.91,-75.0,SL,False,Normal
2025-12-09 15:05:00+00:00,2025-12-09 15:20:00+00:00,SHORT,4193.8,4203.22,4203.22,-75.0,SL,False,Normal
2025-12-10 14:55:00+00:00,2025-12-10 16:30:00+00:00,SHORT,4192.31,4201.66,4201.66,-75.0,SL,False,Normal
2025-12-15 13:35:00+00:00,2025-12-15 13:40:00+00:00,LONG,4340.7,4339.4,4339.4,-75.0,SL,False,Normal
2025-12-16 17:00:00+00:00,2025-12-16 17:05:00+00:00,LONG,4305.76,4303.57,4310.14,131.25,T2,True,Normal
2025-12-18 15:20:00+00:00,2025-12-18 16:20:00+00:00,LONG,4331.92,4311.23,4373.3,131.25,T2,True,Normal
2025-12-19 16:55:00+00:00,2025-12-19 20:40:00+00:00,LONG,4349.71,4338.91,4338.91,-75.0,SL,False,Normal
2025-12-22 14:40:00+00:00,2025-12-22 15:15:00+00:00,LONG,4422.77,4413.35,4413.35,-75.0,SL,False,Normal
2025-12-26 17:35:00+00:00,2025-12-28 23:00:00+00:00,LONG,4519.15,4508.23,4540.99,131.25,T2,True,Normal
2025-12-30 14:30:00+00:00,2025-12-30 14:45:00+00:00,SHORT,4382.18,4395.51,4355.52,131.25,T2,True,Normal
2025-12-31 15:00:00+00:00,2025-12-31 16:00:00+00:00,SHORT,4336.25,4342.67,4336.25,0.0,BE,False,Normal
2026-01-05 13:55:00+00:00,2026-01-05 14:45:00+00:00,LONG,4416.57,4407.29,4435.13,131.25,T2,True,Normal
2026-01-06 13:50:00+00:00,2026-01-06 15:35:00+00:00,LONG,4464.6,4449.19,4464.6,56.25,BE,True,Normal
2026-01-12 16:45:00+00:00,2026-01-12 17:20:00+00:00,LONG,4615.4,4612.51,4612.51,-75.0,SL,False,Normal
2026-01-16 14:20:00+00:00,2026-01-16 14:25:00+00:00,SHORT,4601.92,4603.17,4599.42,131.25,T2,True,Normal
2026-01-29 14:35:00+00:00,2026-01-29 15:00:00+00:00,LONG,5531.39,5486.13,5486.13,-75.0,SL,False,Normal
2026-01-30 14:50:00+00:00,2026-01-30 15:15:00+00:00,SHORT,5047.46,5098.89,5047.46,0.0,BE,False,Normal
2026-02-11 13:45:00+00:00,2026-02-11 13:50:00+00:00,LONG,5068.44,5060.07,5060.07,-75.0,SL,False,Normal
2026-02-13 14:35:00+00:00,2026-02-13 14:40:00+00:00,SHORT,4987.71,4996.73,4969.67,131.25,T2,True,Normal
2026-02-23 13:30:00+00:00,2026-02-23 13:55:00+00:00,LONG,5152.89,5145.98,5145.98,-75.0,SL,False,Normal
2026-03-04 14:35:00+00:00,2026-03-04 17:20:00+00:00,SHORT,5171.81,5197.58,5120.27,131.25,T2,True,Normal
2026-03-11 13:55:00+00:00,2026-03-11 14:40:00+00:00,LONG,5176.3,5161.84,5176.3,0.0,BE,False,Normal
2026-03-19 15:15:00+00:00,2026-03-19 19:05:00+00:00,SHORT,4608.49,4653.33,4653.33,-75.0,SL,False,Normal
2026-03-23 14:50:00+00:00,2026-03-23 15:45:00+00:00,SHORT,4462.85,4491.64,4405.27,131.25,T2,True,Normal
2026-03-24 17:00:00+00:00,2026-03-24 18:25:00+00:00,SHORT,4407.7,4435.72,4407.7,0.0,BE,False,Normal
