entry_time,exit_time,direction,entry,sl,exit,pnl_usd,outcome,t1_hit
2024-05-28 09:00:00+00:00,2024-05-28 09:10:00+00:00,SHORT,2344.06,2344.71,2344.06,56.25,BE,True
2024-05-28 09:15:00+00:00,2024-05-28 09:40:00+00:00,SHORT,2342.95,2344.71,2344.71,-75.0,SL,False
2024-05-28 10:15:00+00:00,2024-05-28 10:20:00+00:00,SHORT,2344.05,2344.71,2344.71,-75.0,SL,False
2024-05-28 11:00:00+00:00,2024-05-28 11:05:00+00:00,SHORT,2344.08,2344.71,2344.71,-75.0,SL,False
2024-05-28 17:25:00+00:00,2024-05-28 17:35:00+00:00,LONG,2355.77,2354.1,2359.11,131.25,T2,True
2024-05-30 09:30:00+00:00,2024-05-30 09:35:00+00:00,SHORT,2334.7,2335.63,2332.84,131.25,T2,True
2024-05-30 15:30:00+00:00,2024-05-30 15:35:00+00:00,LONG,2344.06,2343.0,2343.0,-75.0,SL,False
2024-05-30 15:50:00+00:00,2024-05-30 16:00:00+00:00,LONG,2343.84,2343.0,2343.0,-75.0,SL,False
2024-05-30 16:15:00+00:00,2024-05-30 16:20:00+00:00,LONG,2343.17,2343.0,2343.51,131.25,T2,True
2024-05-30 16:30:00+00:00,2024-05-30 18:05:00+00:00,LONG,2345.66,2343.0,2343.0,-75.0,SL,False
2024-05-31 12:10:00+00:00,2024-05-31 12:30:00+00:00,LONG,2344.19,2342.09,2348.39,131.25,T2,True
2024-06-04 13:30:00+00:00,2024-06-04 13:50:00+00:00,SHORT,2332.53,2335.78,2326.03,131.25,T2,True
2024-06-10 08:25:00+00:00,2024-06-10 08:35:00+00:00,SHORT,2294.94,2296.35,2296.35,-75.0,SL,False
2024-06-10 08:50:00+00:00,2024-06-10 09:20:00+00:00,SHORT,2294.48,2296.35,2296.35,-75.0,SL,False
2024-06-10 09:50:00+00:00,2024-06-10 10:00:00+00:00,SHORT,2294.98,2296.35,2296.35,-75.0,SL,False
2024-06-10 10:30:00+00:00,2024-06-10 10:35:00+00:00,SHORT,2295.93,2296.35,2296.35,-18.75,SL,True
2024-06-11 11:05:00+00:00,2024-06-11 11:25:00+00:00,SHORT,2305.64,2307.29,2307.29,-75.0,SL,False
2024-06-11 11:30:00+00:00,2024-06-11 11:45:00+00:00,SHORT,2305.69,2307.29,2307.29,-75.0,SL,False
2024-06-11 13:40:00+00:00,2024-06-11 13:45:00+00:00,LONG,2314.57,2312.35,2312.35,-75.0,SL,False
2024-06-11 13:50:00+00:00,2024-06-11 14:10:00+00:00,LONG,2313.93,2312.35,2313.93,56.25,BE,True
2024-06-11 14:35:00+00:00,2024-06-11 15:10:00+00:00,LONG,2315.21,2312.35,2312.35,-75.0,SL,False
2024-06-11 15:15:00+00:00,2024-06-11 15:20:00+00:00,LONG,2312.78,2312.35,2312.35,-18.75,SL,True
2024-06-12 10:10:00+00:00,2024-06-12 12:15:00+00:00,SHORT,2313.04,2314.63,2314.63,-75.0,SL,False
2024-06-21 13:10:00+00:00,2024-06-21 13:15:00+00:00,LONG,2363.51,2361.45,2361.45,-75.0,SL,False
2024-07-04 09:25:00+00:00,2024-07-04 12:10:00+00:00,LONG,2357.11,2355.65,2360.03,131.25,T2,True
2024-07-04 14:55:00+00:00,2024-07-04 15:00:00+00:00,LONG,2358.89,2358.41,2358.41,-75.0,SL,False
2024-07-04 15:05:00+00:00,2024-07-04 15:15:00+00:00,LONG,2359.92,2358.41,2358.41,-75.0,SL,False
2024-07-05 10:20:00+00:00,2024-07-05 10:25:00+00:00,LONG,2363.86,2363.53,2364.52,131.25,T2,True
2024-07-05 11:25:00+00:00,2024-07-05 11:35:00+00:00,LONG,2365.02,2363.53,2363.53,-75.0,SL,False
2024-07-05 11:50:00+00:00,2024-07-05 12:30:00+00:00,LONG,2365.07,2363.53,2368.15,131.25,T2,True
2024-07-16 16:50:00+00:00,2024-07-16 16:55:00+00:00,LONG,2459.89,2459.66,2459.66,-75.0,SL,False
2024-07-16 17:00:00+00:00,2024-07-16 17:05:00+00:00,LONG,2461.25,2459.66,2459.66,-75.0,SL,False
2024-07-16 17:20:00+00:00,2024-07-16 19:50:00+00:00,LONG,2462.12,2459.66,2467.04,131.25,T2,True
2024-07-18 10:40:00+00:00,2024-07-18 11:05:00+00:00,LONG,2464.92,2463.06,2463.06,-75.0,SL,False
2024-07-18 12:30:00+00:00,2024-07-18 12:40:00+00:00,LONG,2468.41,2463.85,2463.85,-75.0,SL,False
2024-07-18 13:55:00+00:00,2024-07-18 14:30:00+00:00,LONG,2464.65,2461.47,2461.47,-75.0,SL,False
2024-07-22 08:05:00+00:00,2024-07-22 08:20:00+00:00,SHORT,2403.06,2404.7,2403.06,0.0,BE,False
2024-07-22 09:55:00+00:00,2024-07-22 10:00:00+00:00,SHORT,2404.47,2404.7,2404.01,131.25,T2,True
2024-07-22 17:25:00+00:00,2024-07-22 18:20:00+00:00,SHORT,2393.14,2394.58,2394.58,-75.0,SL,False
2024-07-23 12:05:00+00:00,2024-07-23 12:20:00+00:00,LONG,2407.97,2406.65,2406.65,-75.0,SL,False
2024-07-23 13:05:00+00:00,2024-07-23 13:15:00+00:00,LONG,2406.05,2403.57,2403.57,-75.0,SL,False
2024-07-23 15:30:00+00:00,2024-07-23 15:45:00+00:00,SHORT,2404.26,2407.03,2407.03,-75.0,SL,False
2024-07-24 08:20:00+00:00,2024-07-24 08:25:00+00:00,LONG,2413.86,2413.52,2413.52,-75.0,SL,False
2024-07-24 11:35:00+00:00,2024-07-24 13:00:00+00:00,LONG,2413.89,2409.75,2422.17,131.25,T2,True
2024-07-29 08:40:00+00:00,2024-07-29 11:25:00+00:00,LONG,2390.18,2387.51,2390.18,56.25,BE,True
2024-07-30 08:25:00+00:00,2024-07-30 08:55:00+00:00,LONG,2390.04,2388.01,2388.01,-75.0,SL,False
2024-07-30 09:10:00+00:00,2024-07-30 09:25:00+00:00,LONG,2389.43,2388.01,2388.01,-75.0,SL,False
2024-07-30 10:45:00+00:00,2024-07-30 11:35:00+00:00,LONG,2389.61,2388.01,2389.61,56.25,BE,True
2024-07-30 16:05:00+00:00,2024-07-30 16:40:00+00:00,LONG,2388.2,2386.01,2392.58,131.25,T2,True
2024-08-02 12:00:00+00:00,2024-08-02 12:10:00+00:00,LONG,2459.83,2458.42,2458.42,-75.0,SL,False
2024-08-02 12:30:00+00:00,2024-08-02 13:15:00+00:00,LONG,2473.04,2458.42,2458.42,-75.0,SL,False
2024-08-05 14:15:00+00:00,2024-08-05 14:20:00+00:00,SHORT,2387.72,2391.51,2391.51,-75.0,SL,False
2024-08-06 08:25:00+00:00,2024-08-06 08:40:00+00:00,SHORT,2409.11,2412.0,2412.0,-75.0,SL,False
2024-08-07 11:40:00+00:00,2024-08-07 11:45:00+00:00,SHORT,2395.77,2397.04,2397.04,-75.0,SL,False
2024-08-07 14:40:00+00:00,2024-08-07 15:45:00+00:00,SHORT,2400.48,2404.05,2393.34,131.25,T2,True
2024-08-08 09:35:00+00:00,2024-08-08 10:00:00+00:00,SHORT,2394.5,2397.4,2397.4,-75.0,SL,False
2024-08-13 16:40:00+00:00,2024-08-14 02:30:00+00:00,LONG,2467.96,2459.14,2459.14,-75.0,SL,False
2024-08-14 12:35:00+00:00,2024-08-14 13:15:00+00:00,LONG,2471.68,2459.14,2459.14,-75.0,SL,False
2024-08-14 17:20:00+00:00,2024-08-14 18:35:00+00:00,SHORT,2441.13,2444.76,2444.76,-75.0,SL,False
2024-08-15 17:00:00+00:00,2024-08-15 18:05:00+00:00,SHORT,2454.59,2456.25,2456.25,-75.0,SL,False
2024-08-16 14:10:00+00:00,2024-08-16 14:15:00+00:00,LONG,2491.86,2487.5,2487.5,-75.0,SL,False
