entry_time,exit_time,direction,entry,sl,exit,pnl_usd,outcome,t1_hit
2025-10-22 16:00:00+00:00,2025-10-22 16:30:00+00:00,SHORT,4031.36,4058.2,4058.2,-75.0,SL,False
2025-10-27 16:25:00+00:00,2025-10-27 16:55:00+00:00,SHORT,3986.95,3999.09,3999.09,-75.0,SL,False
2025-10-27 17:05:00+00:00,2025-10-27 17:10:00+00:00,SHORT,3998.2,3999.09,3999.09,-75.0,SL,False
2025-10-29 13:50:00+00:00,2025-10-29 13:55:00+00:00,LONG,4010.31,4010.24,4010.45,131.25,T2,True
2025-11-06 13:00:00+00:00,2025-11-06 13:05:00+00:00,LONG,4006.73,4005.24,4009.71,131.25,T2,True
2025-11-07 17:50:00+00:00,2025-11-10 00:45:00+00:00,LONG,4001.27,3992.1,4019.61,131.25,T2,True
2025-11-11 13:05:00+00:00,2025-11-11 13:10:00+00:00,LONG,4138.04,4137.57,4138.98,131.25,T2,True
2025-11-11 16:35:00+00:00,2025-11-11 23:50:00+00:00,LONG,4112.5,4096.59,4144.32,131.25,T2,True
2025-11-13 15:55:00+00:00,2025-11-13 18:25:00+00:00,LONG,4202.24,4188.47,4188.47,-75.0,SL,False
2025-11-18 17:15:00+00:00,2025-11-18 17:20:00+00:00,SHORT,4061.27,4063.52,4063.52,-75.0,SL,False
2025-11-20 16:10:00+00:00,2025-11-20 19:20:00+00:00,SHORT,4073.83,4089.3,4073.83,56.25,BE,True
2025-11-25 15:05:00+00:00,2025-11-25 19:20:00+00:00,LONG,4130.23,4109.45,4130.23,0.0,BE,False
2025-11-26 13:00:00+00:00,2025-11-26 13:05:00+00:00,LONG,4158.37,4156.97,4158.37,56.25,BE,True
2025-11-27 15:00:00+00:00,2025-11-27 15:20:00+00:00,LONG,4155.61,4153.42,4159.99,131.25,T2,True
2025-11-27 16:45:00+00:00,2025-11-27 19:25:00+00:00,LONG,4156.42,4153.42,4156.42,0.0,BE,False
2025-12-01 13:00:00+00:00,2025-12-01 14:05:00+00:00,LONG,4252.49,4241.41,4241.41,-75.0,SL,False
2025-12-02 13:05:00+00:00,2025-12-02 13:20:00+00:00,SHORT,4205.09,4208.27,4208.27,-75.0,SL,False
2025-12-05 17:50:00+00:00,2025-12-05 18:20:00+00:00,LONG,4216.56,4214.03,4214.03,-75.0,SL,False
2025-12-08 14:25:00+00:00,2025-12-08 14:35:00+00:00,SHORT,4208.59,4211.38,4203.01,131.25,T2,True
2025-12-08 14:40:00+00:00,2025-12-09 03:30:00+00:00,SHORT,4198.1,4211.38,4198.1,56.25,BE,True
2025-12-09 15:00:00+00:00,2025-12-09 15:05:00+00:00,SHORT,4200.21,4203.22,4194.19,131.25,T2,True
2025-12-10 14:55:00+00:00,2025-12-10 16:30:00+00:00,SHORT,4192.31,4201.66,4201.66,-75.0,SL,False
2025-12-15 13:15:00+00:00,2025-12-15 13:20:00+00:00,LONG,4339.38,4339.4,4339.42,131.25,T2,True
2025-12-15 13:35:00+00:00,2025-12-15 13:40:00+00:00,LONG,4340.7,4339.4,4339.4,-75.0,SL,False
2025-12-15 13:45:00+00:00,2025-12-15 13:50:00+00:00,LONG,4343.66,4339.4,4339.4,-75.0,SL,False
2025-12-16 17:00:00+00:00,2025-12-16 17:05:00+00:00,LONG,4305.76,4303.57,4310.14,131.25,T2,True
2025-12-16 17:30:00+00:00,2025-12-16 17:40:00+00:00,LONG,4308.12,4303.57,4303.57,-75.0,SL,False
2025-12-18 15:20:00+00:00,2025-12-18 16:20:00+00:00,LONG,4331.92,4311.23,4373.3,131.25,T2,True
2025-12-19 13:05:00+00:00,2025-12-22 01:00:00+00:00,LONG,4330.75,4311.23,4369.79,131.25,T2,True
2025-12-22 14:40:00+00:00,2025-12-22 15:15:00+00:00,LONG,4422.77,4413.35,4413.35,-75.0,SL,False
2025-12-26 17:35:00+00:00,2025-12-28 23:00:00+00:00,LONG,4519.15,4508.23,4540.99,131.25,T2,True
2025-12-30 14:30:00+00:00,2025-12-30 14:45:00+00:00,SHORT,4382.18,4395.51,4355.52,131.25,T2,True
2025-12-31 15:05:00+00:00,2026-01-01 23:05:00+00:00,SHORT,4332.06,4342.67,4332.06,0.0,BE,False
2026-01-05 13:55:00+00:00,2026-01-05 14:45:00+00:00,LONG,4416.57,4407.29,4435.13,131.25,T2,True
2026-01-06 13:50:00+00:00,2026-01-06 15:35:00+00:00,LONG,4464.6,4449.19,4464.6,56.25,BE,True
2026-01-12 16:45:00+00:00,2026-01-12 17:20:00+00:00,LONG,4615.4,4612.51,4612.51,-75.0,SL,False
2026-01-12 17:45:00+00:00,2026-01-12 18:10:00+00:00,LONG,4617.15,4612.51,4612.51,-75.0,SL,False
2026-01-16 14:20:00+00:00,2026-01-16 14:25:00+00:00,SHORT,4601.92,4603.17,4599.42,131.25,T2,True
2026-01-21 14:05:00+00:00,2026-01-21 14:10:00+00:00,LONG,4864.16,4860.55,4860.55,-75.0,SL,False
2026-01-29 14:35:00+00:00,2026-01-29 15:00:00+00:00,LONG,5531.39,5486.13,5486.13,-75.0,SL,False
2026-01-30 14:50:00+00:00,2026-01-30 15:15:00+00:00,SHORT,5047.46,5098.89,5047.46,0.0,BE,False
2026-01-30 15:50:00+00:00,2026-01-30 17:10:00+00:00,SHORT,5041.0,5098.89,4925.22,131.25,T2,True
2026-02-02 13:00:00+00:00,2026-02-02 14:30:00+00:00,SHORT,4746.4,4806.45,4746.4,0.0,BE,False
2026-02-03 13:00:00+00:00,2026-02-03 16:35:00+00:00,LONG,4920.32,4889.74,4981.48,131.25,T2,True
2026-02-11 13:35:00+00:00,2026-02-11 13:40:00+00:00,LONG,5064.36,5060.07,5060.07,-75.0,SL,False
2026-02-11 13:45:00+00:00,2026-02-11 13:50:00+00:00,LONG,5068.44,5060.07,5060.07,-75.0,SL,False
