time,open,high,low,close,HTF EMA,HTF EMA,S2 SHORT,S2 LONG,S2 SHORT (blocked),S2 LONG (blocked),HTF EMA
1762746300,25522.05,25591.45,25515.8,25554.6,,,0,0,0,0,
1762746600,25551.65,25565.7,25521.5,25526.55,,,0,0,0,0,
1762746900,25524.45,25541.3,25515.3,25539.25,,,0,0,0,0,
1762747200,25539.6,25561.9,25538.65,25559.35,,,0,0,0,0,
1762747500,25558,25579.15,25558,25574.7,,,0,0,0,0,
1762747800,25574.55,25575.05,25543.55,25552.75,,,0,0,0,0,
1762748100,25553.2,25583.15,25548.7,25580.65,,,0,0,0,0,
1762748400,25579.75,25595.75,25574.45,25592.9,,,0,0,0,0,
1762748700,25593.3,25593.65,25565.05,25568.1,,,0,0,0,0,
1762749000,25568.2,25575.35,25553.1,25555.6,,,0,0,0,0,
1762749300,25555.55,25566.85,25552.3,25566.35,,,0,0,0,0,
1762749600,25566.05,25579.55,25558.65,25576,,,0,0,0,0,
1762749900,25575.9,25602.7,25575.2,25602.45,,,0,0,0,0,
1762750200,25601.85,25619.05,25601.85,25618.05,,,0,0,0,0,
1762750500,25617.45,25622.05,25612.25,25615.6,,,0,0,0,0,
1762750800,25615.35,25625.25,25612.05,25618.65,,,0,0,0,0,
1762751100,25618.15,25619.7,25601.1,25602.1,,,0,0,0,0,
1762751400,25602.85,25610.35,25598.45,25601.45,,,0,0,0,0,
1762751700,25600.85,25605.8,25592.6,25597.85,,,0,0,0,0,
1762752000,25597.05,25606.9,25587.75,25604.3,,,0,0,0,0,
1762752300,25604,25614.45,25603.25,25612.2,,,0,0,0,0,
1762752600,25612.8,25629.05,25610.25,25626.2,,,0,0,0,0,
1762752900,25626.35,25632,25619.55,25623.3,,,0,0,0,0,
1762753200,25622.65,25629.9,25617.1,25629.9,,,0,0,0,0,
1762753500,25629.1,25636.95,25625.95,25636.35,,,0,0,0,0,
1762753800,25635.8,25645.3,25632.4,25643.75,,,0,0,0,0,
1762754100,25643.45,25651.95,25641.15,25649.8,,,0,0,0,0,
1762754400,25649.1,25649.35,25639.2,25639.95,,,0,0,0,0,
1762754700,25640.65,25643.9,25635.6,25636.3,,,0,0,0,0,
1762755000,25636.85,25637.85,25629.75,25633,,,0,0,0,0,
1762755300,25632.75,25644.5,25630.45,25631.05,,,0,0,0,0,
1762755600,25630.8,25637.55,25628.5,25631,,,0,0,0,0,
1762755900,25630.8,25634.35,25619.05,25620.85,,,0,0,0,0,
1762756200,25620.2,25631.45,25620.2,25622.65,,,0,0,0,0,
1762756500,25621.8,25626.2,25618.75,25624.6,,,0,0,0,0,
1762756800,25624.05,25633.5,25621.75,25624.3,,,0,0,0,0,
1762757100,25623.1,25632.85,25620.3,25628.9,,,0,0,0,0,
1762757400,25628.65,25639.8,25624.3,25632.45,,,0,0,0,0,
1762757700,25630.8,25639.7,25630.8,25633.05,,,0,0,0,0,
1762758000,25634.15,25641.9,25630.55,25634,,,0,0,0,0,
1762758300,25633.5,25639.65,25629.7,25638.6,,,0,0,0,0,
1762758600,25638.25,25647.3,25635.7,25646.15,,,0,0,0,0,
1762758900,25644.3,25648.05,25639.45,25645.1,,,0,0,0,0,
1762759200,25644.6,25652.15,25643.55,25649.55,,,0,0,0,0,
1762759500,25649.9,25650.8,25643.8,25647.2,,,0,0,0,0,
1762759800,25647.55,25653.45,25641.9,25643.5,,,0,0,0,0,
1762760100,25643.3,25645.1,25631.4,25637,,,0,0,0,0,
1762760400,25635.7,25639.95,25629.1,25630.25,,,0,0,0,0,
1762760700,25630.75,25638.95,25629.95,25634.45,,,0,0,0,0,
1762761000,25634,25636.05,25624.35,25634.75,25589.439,25589.439,0,0,0,0,25589.439
1762761300,25634.4,25642.95,25634.1,25638.25,25591.03943137255,25591.03943137255,0,0,0,0,25591.03943137255
1762761600,25637.65,25642.6,25632.65,25635.4,25592.577100730487,25592.577100730487,0,0,0,0,25592.577100730487
1762761900,25634.85,25639.65,25633.75,25636.2,25594.05446932929,25594.05446932929,0,0,0,0,25594.05446932929
1762762200,25635.6,25637.55,25607.55,25607.55,25595.473901904614,25595.473901904614,0,0,0,0,25595.473901904614
